,month_year,hum,mean_temp
0,199611,47.92,19.55
1,199612,58.77,13.81
2,199701,75.87,12.83
3,199702,62.35,15.96
4,199703,61.66,21.26
5,199704,50.63,26.33
6,199705,46.14,29.72
7,199706,64.12,31.73
8,199707,81.38,31.26
9,199708,82.88,29.6
10,199709,72.09,29.69
11,199710,72.49,23.98
12,199711,68.72,20.06
13,199712,89.43,12.87
14,199801,75.49,13.14
15,199802,73.42,16.49
16,199803,67.68,19.64
17,199804,44.26,29.17
18,199805,34.71,34.25
19,199806,59.4,32.95
20,199807,86.23,30.22
21,199808,85.49,29.53
22,199809,76.06,29.48
23,199810,71.48,25.12
24,199811,62.58,19.95
25,199812,75.72,14.09
26,199901,80.67,12.14
27,199902,69.49,16.48
28,199903,44.04,22.45
29,199904,22.03,31.0
30,199905,31.09,34.6
31,199906,40.95,34.27
32,199907,50.91,32.05
33,199908,40.88,32.9
34,199909,61.77,30.77
35,199910,52.3,27.61
36,199911,41.94,22.59
37,199912,67.37,15.14
38,200001,76.91,13.76
39,200002,74.48,14.97
40,200004,32.0,35.0
41,200005,61.0,26.0
42,200006,50.79,32.3
43,200007,63.38,30.27
44,200008,67.8,31.73
45,200009,66.96,30.19
46,200010,54.66,28.22
47,200011,56.69,22.13
48,200012,57.33,16.13
49,200101,76.56,12.61
50,200102,51.46,18.29
51,200103,39.35,23.45
52,200104,43.04,29.79
53,200105,39.95,32.99
54,200106,59.55,31.0
55,200107,69.65,30.97
56,200108,63.27,31.14
57,200109,51.05,31.2
58,200110,50.92,27.69
59,200111,46.64,21.37
60,200112,62.33,15.81
61,200201,66.26,14.08
62,200202,54.05,17.42
63,200203,42.47,24.48
64,200204,26.98,32.02
65,200205,33.16,35.45
66,200206,49.78,34.25
67,200207,44.93,35.4
68,200208,72.13,30.67
69,200209,70.88,28.25
70,200210,54.96,27.17
71,200211,52.94,21.34
72,200212,59.78,16.81
73,200301,83.63,11.64
74,200302,68.73,17.81
75,200303,49.45,23.47
76,200304,27.91,31.74
77,200305,24.93,34.84
78,200306,46.03,35.58
79,200307,76.56,30.34
80,200308,78.7,29.97
81,200309,75.04,28.94
82,200310,49.9,26.44
83,200311,49.83,20.35
84,200312,76.05,15.12
85,200401,82.48,13.09
86,200402,64.17,18.43
87,200403,42.41,26.63
88,200404,32.92,31.82
89,200405,36.31,34.3
90,200406,51.03,32.42
91,200407,52.37,32.72
92,200408,74.55,29.46
93,200409,56.77,29.71
94,200410,63.4,24.23
95,200411,60.66,19.49
96,200412,65.98,15.46
97,200501,64.98,13.44
98,200502,59.68,16.84
99,200503,51.42,23.62
100,200504,23.66,28.67
101,200505,25.57,32.29
102,200506,39.01,34.01
103,200507,72.87,30.17
104,200508,59.12,31.42
105,200509,70.33,28.8
106,200510,55.26,25.07
107,200511,49.91,19.56
108,200512,60.09,13.18
109,200601,56.42,13.96
110,200602,52.64,20.99
111,200603,49.33,22.55
112,200604,27.43,29.55
113,200605,41.41,33.14
114,200606,48.23,32.02
115,200607,69.84,30.98
116,200608,65.64,30.57
117,200609,65.18,29.19
118,200610,56.37,26.06
119,200611,62.46,20.19
120,200612,63.85,15.44
121,200701,62.85,13.37
122,200702,68.51,17.55
123,200703,54.06,21.78
124,200704,30.96,30.46
125,200705,38.41,31.89
126,200706,52.51,32.93
127,200707,67.48,31.15
128,200708,70.44,30.61
129,200709,67.13,29.17
130,200710,49.83,24.36
131,200711,66.51,19.44
132,200712,58.85,14.5
133,200801,61.38,12.99
134,200802,58.42,15.62
135,200803,46.18,25.07
136,200804,33.21,28.57
137,200805,44.64,30.26
138,200806,67.1,30.26
139,200807,73.39,30.69
140,200808,74.79,29.59
141,200809,69.17,28.49
142,200810,60.97,26.44
143,200811,63.15,19.56
144,200812,67.27,16.16
145,200901,68.13,14.76
146,200902,57.69,18.27
147,200903,45.61,23.44
148,200904,26.34,29.6
149,200905,36.86,32.44
150,200906,34.7,34.57
151,200907,61.24,32.02
152,200908,67.98,30.9
153,200909,69.56,28.9
154,200910,52.04,25.06
155,200911,60.87,19.3
156,200912,66.68,14.96
157,201001,78.98,12.88
158,201002,64.82,18.06
159,201003,49.44,25.96
160,201004,23.59,32.74
161,201005,28.88,34.51
162,201006,36.41,34.34
163,201007,70.45,31.11
164,201008,78.82,29.59
165,201009,79.34,27.66
166,201010,63.13,26.08
167,201011,70.66,20.37
168,201012,71.46,13.99
169,201101,67.88,12.31
170,201102,67.85,17.04
171,201103,54.3,22.67
172,201104,37.19,27.89
173,201105,37.46,33.04
174,201106,55.89,32.16
175,201107,70.36,30.63
176,201108,75.2,29.88
177,201109,71.01,29.07
178,201110,59.2,25.55
179,201111,66.87,20.78
180,201112,69.17,14.54
181,201201,70.85,12.82
182,201202,49.2,16.2
183,201203,45.81,22.52
184,201204,39.93,28.22
185,201205,24.31,33.41
186,201206,28.45,36.12
187,201207,63.47,31.86
188,201208,77.95,29.26
189,201209,68.85,29.2
190,201210,57.48,24.63
191,201211,65.44,18.78
192,201212,64.95,14.97
193,201301,72.9,12.11
194,201302,71.82,16.9
195,201303,57.42,22.81
196,201304,34.61,28.9
197,201305,28.78,33.84
198,201306,58.74,32.48
199,201307,74.87,30.66
200,201308,76.62,29.57
201,201309,64.69,29.81
202,201310,70.26,26.13
203,201311,66.08,18.86
204,201312,79.44,15.12
205,201401,84.72,13.39
206,201402,73.58,15.7
207,201403,62.32,21.59
208,201404,40.66,28.06
209,201405,41.74,31.41
210,201406,42.67,34.77
211,201407,62.85,32.03
212,201408,61.34,31.4
213,201409,63.27,29.79
214,201410,59.27,26.45
215,201411,55.33,20.1
216,201412,69.95,14.82
217,201501,78.31,12.69
218,201502,64.44,18.79
219,201503,67.96,21.56
220,201504,51.64,27.99
221,201505,33.32,33.35
222,201506,49.37,32.74
223,201507,69.45,30.4
224,201508,70.71,30.33
225,201509,54.24,30.65
226,201510,59.27,26.88
227,201511,66.83,20.76
228,201512,71.65,14.99
229,201601,77.93,15.14
230,201602,62.41,19.01
231,201603,55.04,25.7
232,201604,29.23,32.56
233,201605,38.94,34.75
234,201606,51.74,34.94
235,201607,75.37,30.88
236,201608,73.01,31.11
237,201609,60.95,31.5
238,201610,56.21,28.97
239,201611,54.04,22.96
240,201612,68.8,17.68
241,201701,77.21,15.71
242,201702,64.38,18.35
243,201703,48.01,23.75
244,201704,30.41,30.75
